Brand,In_catalog,Catalog_product_count,Collection_status,Primary_SKUs_suggested_in_quiz,Combos_where_brand_appears,Combos_pct,Product_combo_breakdown
Biotop,YES,15,Listed with products,2,8846,43.3%,"Biotop 911 Quinoa Shampoo 250ml → 8,846 combos"
Brasil Cacau,YES,8,Listed with products,2,5446,26.7%,"Brasil Cacau Cadiveu Extreme Repair Shampoo For Damaged Hair ( 300ML) → 5,446 combos"
Kerastase,YES,62,Listed with products,7,20412,100.0%,"Kerastase Elixir Ultime Hair Oil-In-Serum (30ml) → 20,412 combos; Genesis Fondant Renforçateur Conditioner 200ml → 14,292 combos; Fresh Affair Dry Shampoo → 14,292 combos; Kerastase | Nutritive |Masquintense Riche Mask|200ml Highly nourishing mask → 14,292 combos; Kerastase | Nutritive |Nectar Thermique Blow Dry Primer|150ml → 4,435 combos; Genesis Défense Thermique Blow Dry Primer 150ml → 7,137 combos; Kerastase Gloss Absolu Anti-Frizz Heat Protectant Spray 190ml → 2,711 combos"
K18,YES,2,Listed with products,1,14292,70.0%,"K-18 leave-in molecular repair hair mask 50ml → 14,292 combos"
L'Oreal Professionnel,YES,42,Listed with products,0,6120,30.0%,"L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Shampoo | 300ml → 6,120 combos; L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Masque | 250ml → 12,240 combos; L’Oreal Professionnel Metal DX Concentrated Leave-In Serum For Soft & Shiny Hair(50ml) → 6,120 combos; L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Serum | 90ml → 6,120 combos; L'Oréal Professionnel TecniArt Super Dust Volume & Texture Powder 7g → 6,120 combos; L'oreal Professionnel | Tecni Art | Elnett Hair Spray | 500ml → 6,120 combos; L'oreal Professionnel | Tecni Art | Flex Liss Control Cream | 150ml → 3,069 combos; L'oreal Professionnel | Tecni Art Flex Blowdry 150ml → 3,060 combos; L'oreal Professionnel | Tecni Art | Full Volume Extra | 250ml → 2,033 combos"
Lea Levett,YES,6,Listed with products,0,0,0.0%,— (never suggested as primary)
Moroccanoil,YES,21,Listed with products,4,14292,70.0%,"Moroccanoil | Moroccanoil Treatment Light|100ml For Fine Or Light-Coloured Hair → 8,846 combos; Moroccanoil | Luminous Hairspray Strong 330ml → 14,292 combos; Moroccanoil | Root Boost For Fine To Medium Hair 250ml → 4,771 combos; Moroccanoil | Moroccanoil Treatment Original|100ml For All Hair Types → 5,446 combos"
Olaplex,NO,0,Collection exists but empty / no live products in catalog,0,0,0.0%,— (never suggested as primary)
Root Deep,YES,1,Listed with products,0,0,0.0%,— (never suggested as primary)
Schwarzkopf,YES,14,Listed with products,0,0,0.0%,— (never suggested as primary)
18.21 Man Made,YES,9,Listed with products,0,0,0.0%,— (never suggested as primary)
TAILOR'S,YES,13,Listed with products,0,0,0.0%,— (never suggested as primary)
Wet Brush,NO,0,Collection exists but empty / no live products in catalog,0,0,0.0%,— (never suggested as primary)
Let's Shave,YES,8,Listed with products,0,0,0.0%,— (never suggested as primary)
Redken,NO,0,Not currently listed on Lookskart,0,0,0.0%,— (never suggested as primary)
Agnaya,NO,0,Not currently listed on Lookskart,0,0,0.0%,— (never suggested as primary)
pH Plex,YES,3,Listed with products,1,20412,100.0%,"pH Plex Step 3 150ml → 20,412 combos"
