Brand,Products found,Status,Collection / search URL
Biotop,15,Listed with products,https://lookskart.com/collections/biotop
Brasil Cacau,8,Listed with products,https://lookskart.com/collections/brasil-cacau
Kerastase,63,Listed with products,https://lookskart.com/collections/kerastase
K18,2,Listed with products,https://lookskart.com/collections/k18
L'Oreal Professionnel,53,Listed with products,https://lookskart.com/collections/loreal-professional
Lea Levett,6,Listed with products,https://lookskart.com/collections/lea-levett
Moroccanoil,21,Listed with products,https://lookskart.com/collections/moroccan-oil-hair
Olaplex,0,Collection exists but empty / no live products in catalog,https://lookskart.com/collections/olaplex
Root Deep,1,Listed with products,https://lookskart.com/collections/root-deep
Schwarzkopf,14,Listed with products,https://lookskart.com/collections/schwarzkopfprof-professional
18.21 Man Made,9,Listed with products,https://lookskart.com/collections/18-21-man
TAILOR'S,13,Listed with products,https://lookskart.com/collections/tailors-product-collection-for-whatsapp-wati
Wet Brush,0,Collection exists but empty / no live products in catalog,https://lookskart.com/collections/wet-brush
Let's Shave,8,Listed with products,https://lookskart.com/collections/lets-shave
Redken,0,Not currently listed on Lookskart,https://lookskart.com/search?q=redken&type=product
Agnaya,0,Not currently listed on Lookskart,https://lookskart.com/search?q=agnaya&type=product
pH Plex (Phplex),3,Listed with products,https://lookskart.com/search?q=ph+plex&type=product
