Slot_ID,Slot,When_Suggested,Role,Brand,Product,Price,URL
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Primary,Biotop,Biotop 911 Quinoa Shampoo 250ml,"Rs. 2,070",https://lookskart.com/products/biotop-911-quinoa-shampoo-330ml
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,Moroccanoil,Moroccanoil | Moisture Repair Shampoo|250ml For Weakened And Damaged Hair,"Rs. 2,163",https://lookskart.com/products/moroccanoil-moisture-repair-shampoo-250ml-for-weakened-and-damaged-hair
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,Brasil Cacau,Brasil Cacau Cadiveu Extreme Repair Shampoo For Damaged Hair ( 300ML),"Rs. 1,646",https://lookskart.com/products/brasil-cacau-extreme-repair-shampoo-for-damaged-hair-300ml
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,Kerastase,Kerastase | Nutritive |Bain Satin Riche Shampoo|250ml Nourishing for dry to very dry hair,"Rs. 2,625",https://lookskart.com/products/kerastase-nutritive-bain-satin-shampoo-250ml-nourishing-for-dry-to-very-dry-hair
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,L'Oreal Professionnel,L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Shampoo | 300ml,Rs. 703,https://lookskart.com/products/loreal-professionnel-serie-expert-absolut-repair-lipidium-shampoo-300ml
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,Lea Levett,Lea Levett Botanique Shampoo 350ml,"Rs. 3,800",https://lookskart.com/products/lea-levett-botanique-shampoo-300ml
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,pH Plex (Phplex),pH Plex Shampoo 250ml,"Rs. 2,358",https://lookskart.com/products/ph-plex-shampoo-250ml
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Brand alternative,Root Deep,Root Deep Scalp Shampoo for Hair Fall Reduction 200ML,"Rs. 2,300",https://lookskart.com/products/root-deep-hair-retention-therapy-shampoo
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Same-brand variant,Biotop,"Biotop 700 Keratin + Kale Hair Shampoo 500 ml | Calming Chamomile|Paraben, SLS & Sulfate free|For Damaged, Coarse or Chemically Treated Hair","Rs. 2,483",https://lookskart.com/products/biotop-700-keratin-kale-shampoo-250ml-calming-chamomile-paraben-sls-sulfate-free-for-damaged-coarse-or-chemically-treated-hair-1
shampoo_fm,Shampoo (Fine/Medium),Hair type Fine or Medium,Same-brand variant,Biotop,Biotop 02 Eco Dandruff Shampoo 250ml,"Rs. 2,003",https://lookskart.com/products/biotop-02-eco-dandruff-shampoo-330ml
